seed,score,num_steps
7025,3897,1000
7026,3687,1000
7027,5297,1000
7028,3477,1000
7029,3967,1000
7030,3197,1000
7031,2147,1000
7032,3687,1000
7033,1097,324
7034,6767,1000
7035,4667,1000
7036,5647,1000
7037,2637,1000
7038,1517,297
7039,1657,1000
7040,2917,1000
7041,2847,1000
7042,2357,1000
7043,1237,1000
7044,2637,1000
7045,2847,1000
7046,1937,1000
7047,3547,1000
7048,5297,1000
7049,5087,1000
7050,4807,1000
7051,5647,1000
7052,5507,1000
7053,3897,1000
7054,1937,1000
7055,4107,1000
7056,3407,1000
7057,4247,1000
7058,2007,1000
7059,5297,1000
7060,2637,1000
7061,2077,1000
7062,747,1000
7063,747,1000
7064,2987,1000
7065,5157,1000
7066,4317,1000
7067,4177,1000
7068,4457,1000
7069,2917,1000
7070,5647,1000
7071,4177,1000
7072,3757,1000
7073,3127,1000
7074,1587,1000
7075,3337,1000
7076,3547,1000
7077,2917,1000
7078,2007,358
7079,3967,1000
7080,4597,1000
7081,4107,1000
7082,5647,1000
7083,3127,1000
7084,4177,1000
7085,2847,1000
7086,6207,1000
7087,3967,1000
7088,3197,482
7089,5507,1000
7090,3477,1000
7091,2497,1000
7092,2287,1000
7093,3267,1000
7094,3057,1000
7095,4247,1000
7096,4877,1000
7097,1587,403
7098,3897,1000
7099,4457,1000
7100,4737,1000
7101,1727,1000
7102,4037,1000
7103,4037,1000
7104,3827,1000
7105,4947,1000
7106,5087,1000
7107,1657,1000
7108,3757,1000
7109,3477,1000
7110,3127,1000
7111,5787,1000
7112,6067,1000
7113,3057,1000
7114,4037,1000
7115,1237,445
7116,3127,1000
7117,1167,1000
7118,2917,1000
7119,4947,1000
7120,1517,328
7121,2637,1000
7122,4737,1000
7123,3547,1000
7124,3967,1000
7125,3547,1000
7126,3547,1000
7127,1727,1000
7128,2777,1000
7129,3547,1000
7130,2427,502
7131,1657,453
7132,3897,1000
7133,3127,1000
7134,3407,1000
7135,2427,1000
7136,3477,1000
7137,1937,1000
7138,3057,1000
7139,3757,1000
7140,1937,1000
7141,3617,1000
7142,3477,1000
7143,5787,1000
7144,887,1000
7145,4107,1000
7146,5437,1000
7147,5997,1000
7148,4037,1000
7149,4877,1000
seed,score,num_steps
7150,7257,1000
7151,1517,410
7152,4807,1000
7153,4177,1000
7154,4667,1000
7155,2847,1000
7156,2987,465
7157,5927,1000
7158,3757,1000
7159,2567,1000
7160,327,290
7161,2847,1000
7162,3827,1000
7163,4387,1000
7164,4527,1000
7165,4877,1000
7166,3057,1000
7167,3057,1000
7168,4247,1000
7169,4107,1000
7170,4527,1000
7171,5647,1000
7172,5927,1000
7173,3337,1000
7174,2497,1000
7175,4177,1000
7176,3757,1000
7177,1727,1000
7178,3337,1000
7179,3267,1000
7180,4667,1000
7181,2707,1000
7182,2147,1000
7183,2077,1000
7184,4737,1000
7185,2077,1000
7186,4247,1000
7187,4037,1000
7188,3547,1000
7189,2567,1000
7190,3967,1000
7191,4037,1000
7192,4317,1000
7193,2217,394
7194,4737,1000
7195,5017,1000
7196,3897,1000
7197,5647,1000
7198,3547,1000
7199,4247,1000
7200,4457,1000
7201,3687,1000
7202,1867,442
7203,1307,345
7204,3827,1000
7205,2427,1000
7206,1727,1000
7207,4527,1000
7208,4457,1000
7209,4527,1000
7210,4177,1000
7211,4177,1000
7212,4947,1000
7213,2847,1000
7214,3477,1000
7215,4877,1000
7216,4807,1000
7217,3477,1000
7218,3687,1000
7219,2357,1000
7220,3267,1000
7221,2497,1000
7222,1657,1000
7223,1097,384
7224,5507,1000
7225,5017,1000
7226,2077,1000
7227,5087,1000
7228,4387,1000
7229,4037,1000
7230,3477,1000
7231,2637,1000
7232,4807,1000
7233,4527,1000
7234,1937,490
7235,2707,1000
7236,1657,297
7237,4877,1000
7238,4947,1000
7239,2147,429
7240,3617,1000
7241,3757,1000
7242,5507,1000
7243,3687,1000
7244,6277,1000
7245,4597,1000
7246,2987,1000
7247,4037,1000
7248,4037,1000
7249,2287,1000
7250,3407,1000
7251,3897,1000
7252,3617,1000
7253,2147,1000
7254,3687,1000
7255,4317,1000
7256,2917,1000
7257,2847,1000
7258,3197,1000
7259,2637,1000
7260,4177,1000
7261,4037,1000
7262,3687,1000
7263,4667,1000
7264,4667,1000
7265,3547,1000
7266,4807,1000
7267,2777,1000
7268,2077,1000
7269,1937,1000
7270,4457,1000
7271,4107,1000
7272,2287,1000
7273,4387,1000
7274,1027,1000
seed,score,num_steps
7275,4037,1000
7276,3407,1000
7277,4037,1000
7278,3897,1000
7279,3967,1000
7280,3827,1000
7281,4037,1000
7282,4737,1000
7283,4877,1000
7284,1937,1000
7285,5857,1000
7286,2917,1000
7287,1237,414
7288,4947,1000
7289,5157,1000
7290,3617,1000
7291,4247,1000
7292,2637,1000
7293,2777,1000
7294,1797,1000
7295,2707,1000
7296,4247,1000
7297,3757,1000
7298,3757,1000
7299,4597,1000
7300,4177,1000
7301,5647,1000
7302,2917,1000
7303,3687,1000
7304,4527,1000
7305,4247,1000
7306,2777,1000
7307,5857,1000
7308,2497,1000
7309,2427,1000
7310,2147,1000
7311,1237,1000
7312,1377,453
7313,1797,484
7314,1867,324
7315,1097,1000
7316,3477,1000
7317,4107,1000
7318,4247,1000
7319,2637,1000
7320,4387,1000
7321,4387,1000
7322,3057,1000
7323,5087,1000
7324,3127,1000
7325,3337,1000
7326,5367,1000
7327,2917,1000
7328,3127,1000
7329,4387,1000
7330,5157,1000
7331,2777,1000
7332,4947,1000
7333,5857,1000
7334,1167,291
7335,4527,1000
7336,4877,1000
7337,2217,1000
7338,4317,1000
7339,5017,1000
7340,2917,1000
7341,4527,1000
7342,4737,1000
7343,3547,1000
7344,6137,1000
7345,2567,1000
7346,6487,1000
7347,3547,1000
7348,3057,1000
7349,2497,456
7350,3197,1000
7351,4527,1000
7352,4107,1000
7353,4317,1000
7354,6137,1000
7355,3967,1000
7356,4597,1000
7357,2357,1000
7358,4317,1000
7359,3687,1000
7360,4037,1000
7361,3057,1000
7362,2007,393
7363,3617,1000
7364,4527,1000
7365,3687,1000
7366,5437,1000
7367,1657,393
7368,3057,1000
7369,2987,1000
7370,4387,1000
7371,3687,1000
7372,4107,1000
7373,4947,1000
7374,3477,1000
7375,3477,1000
7376,6487,1000
7377,4597,1000
7378,2637,1000
7379,4317,1000
7380,4107,1000
7381,2147,444
7382,2707,1000
7383,4177,1000
7384,4737,1000
7385,1167,1000
7386,3897,1000
7387,3407,1000
7388,2847,1000
7389,2287,1000
7390,3477,1000
7391,2847,1000
7392,2007,1000
7393,5647,1000
7394,4527,1000
7395,5997,1000
7396,1937,1000
7397,5507,1000
7398,5087,1000
7399,5017,1000
seed,score,num_steps
7400,4737,1000
7401,2217,1000
7402,3407,1000
7403,3057,1000
7404,6067,1000
7405,3967,1000
7406,3337,1000
7407,3407,1000
7408,2077,1000
7409,2567,496
7410,3547,1000
7411,3267,1000
7412,5857,1000
7413,2357,1000
7414,2357,1000
7415,4387,1000
7416,1657,381
7417,4947,1000
7418,467,231
7419,4667,1000
7420,4597,1000
7421,2847,1000
7422,2077,1000
7423,4737,1000
7424,2987,1000
7425,3547,1000
7426,4737,1000
7427,5367,1000
